속성,순서,책이름,저자,옮긴이,분류,별점,완독일,한줄평,파일과 미디어
No,110,초인류,김상균,김상균,경제경영,★★★★★,2024년 3월 8일,"인류에 대해서 내 생각과 너무 비슷해서 신기했고 꼭 다시한번 봐야할 책이다 ",
No,111,권력으로 읽는 세계사 (동북아),정성효,정성효,역사,★★★★★,2024년 3월 15일,중국과 일본과 한반도와의 관계를 잘 설명했고 간다효의 역사관은 확실히 남들과 다른 점이 있다.,
No,112,진짜 하고 싶은일 만 하고 사는 법,데릭 시버스,정지현,자기계발,★★★★☆,2024년 3월 20일,남들의 눈치를 보지 말고 자신이 하고자 하는걸 해라. 내 인생은 내가 결정해야 한다.,
No,113,따라 쓰기만 해도 글이 좋아진다,김선영,김선영,인문,★★★☆☆,2024년 3월 23일,글을 쓰려고 마음먹은 사람이 읽기에 안성맞춤인 책으로 필사를 하는 방법과 즐거움을 알려준다.,
No,114,세븐 테크,"김미경 외 ",김미경,경제경영,★★★★★,2024년 3월 25일,IT에 관심이 없는 사람들에게도 도움이 될만한 21세기 핵심 기술과 관련한 소개가 인상깊다 꼭 다시 읽자,
No,115,대화의 정석,정흥수,정흥수,인문,★★★★★,2024년 4월 1일,"일 인간관계, 가치관 모든걸 바꾸는 기술. 꼭 다시 읽고 추천하고 싶은 책.",
No,116,더마인드,하와이대저택,하와이대저택,자기계발,★★★★★,2024년 4월 4일,무의식으로 성공을 이끌어내는 방법을 설명하는 책. 이 책을 읽는 순간부터 부자가 될 가능성이 있다.,
No,117,요시다 쇼인,김세진,김세진,역사,★★☆☆☆,2024년 4월 6일,한국인으로써 객관적으로 쇼인에 대해 작성돤 국내 유일한 도서.,
No,118,인생을 바꾸는 결혼 수업,남인숙,남인숙,인문,★★☆☆☆,2024년 4월 11일,결혼하지 않은 젊은 여성들에게 조언이 될 책이지만 다소 편향적이고 남성비하적인 발언은 일반화에 빠진것 같다.,
No,119,떨림과 울림,김상욱,김상욱,과학,★★★★★,2024년 4월 16일,어려운 물리학을 이해하기 쉽도록 친근하게 설명해주는 김상욱 교수의 방식이 좋다,
No,120,생각이 너무 많은 어른들을 위한 심리학,김혜남,김혜남,심리,★★★★☆,2024년 4월 23일,걱정이 있을 때 이 책을 보는게 해결책이 아닐까 하는 생각이 들었다.,
No,121,도파민네이션,애니램키,김두완,심리,★★★☆☆,2024년 4월 30일,"중독의 위험성과 그 원인을 이해할 수 있는 책. ",
No,122,일본이 온다,김현철,김현철,경제경영,★★★★☆,2024년 5월 15일,일본의 경제를 보면서 우리가 앞으로 대비해야할 경제지식을 이해하게되는 책,
No,123,마흔에 읽는 쇼펜하우어,강용수,강용수,인문,★★★★★,2024년 5월 7일,40대가 가까워지는 나이로써 정말 중요한 가치관을 통찰하는 책으로 꼭 다시한번 읽어야할 책이다,
No,124,AI 질문이 직업이 되는 세상,최서연,전상훈,IT,★★★☆☆,2024년 5월 4일,이제는 얼마나 많이 아는가가 아니라 얼마나 질문을 잘하는가이다,
No,125,생각 중독,닉 트렌튼,박지선,심리,★★★☆☆,2024년 5월 20일,생각이 너무 많은 사람들에게 해주는 과학적이고도 현실적인 조언,
No,126,이기적 유전자,리처드 도킨슨,홍영남,과학,★★★★★,2024년 5월 31일,우리는 유전자가 만든 산물이며 이기적이기에 생존할수 있었다,
No,127,놓치고 싶지 않은 나의 꿈 나의 인생 1,나폴레온 힐,권혁철,자기계발,★★★★★,2024년 6월 10일,뻔한 이야기지만 어쩧게 살아가야할지를 일러주는 행동지침서,
No,128,GPT제너레이션,이시한,이시한,경제경영,★★★★☆,2024년 6월 15일,인공지능 시대에서 살아남기 위해 인류가 해야할 마음가짐은 무엇이 있을까,
No,129,데일카네기 비밀의 문장,데일카네기,이정환,자기계발,★★★★☆,2024년 6월 18일,시대를 추월한 명언들이 가득히 데일카네기가 일생동안 되새긴 글들을 한권에 묶어놓은듯하다,
No,130,"놓치고 싶지 않은 나의 꿈, 나의 인생 2",나폴레온 힐,민승남,자기계발,★★★★★,2024년 6월 27일,긍정적인 마인드인 PMA를 실천함으로써 얻을 수 있는 긍정적인 세상,
No,131,상위 1%의 압도적 대화법,김형중,김형중,경제경영,★★★☆☆,2024년 7월 4일,감사함의 반댓말은 당연함이다. 당연하지 않다면 모든것에 감사하자.,
No,132,챗 GPT 프롬프트 디자인,김현종,김현종,IT,★★★☆☆,2024년 7월 9일,제 아무리 인공지능이 뛰어나도 인간만이 잘하는 감정과 창의력은 필요하다,
No,133,이것이 인공지능이다,김명락,김명락,IT,★★★☆☆,2024년 7월 11일,Ai의 시대는 서서히 확실하게 변화해 가고 있으며 아직 아메리카대륙을 발견 한 수준이다,
No,134,요즘 어른을 위한 최소한의 세계사,임소미,임소미,역사,★★☆☆☆,2024년 7월 24일,"연계성이 부족하고 재미가없다. ",
No,135,사는동안 한번은 팔아봐라,서과장,서과장,경제경영,★★★★★,2024년 8월 1일,부업을 하려거든 이 책을 꼭 읽어보자. 현실적이고 알기 쉽게 판매를 배울수 있다.,
No,136,서른과 마흔 사이,오구라히로시,박혜령,자기계발,★★★★★,2024년 8월 11일,지금 내 나이인 서른과 마흔사이는 인생에 가장 중요한 선택을 해야하는 시기로 지금 이순간이 남은 인생을 결정한다.,
No,137,핑크 팽귄,빌비숍,안진환,자기계발,★★★★☆,2024년 8월 17일,펭귄 무리속 혼자만 돋보이는 핑크색 펭귄이 되려면 독창적인 빅 아이디어가 필요하다.,
No,138,사라진 여자들,메리 쿠비카,신솔잎,소설,★★★★☆,2024년 9월 30일,인물 한사람 한사람의 특징이 살아있는 특징의 범죄 스릴러,
No,139,과학을 보다 2,김범준,김범준,과학,★★★★☆,2024년 10월 13일,과학을 재밌게 말할줄 아는 과학자이자 크리레이어터의 과학과 친해지는 책,
No,140,침묵 수업,마틴레어드,이민재,자기계발,★★★☆☆,2025년 10월 24일,말을 아낄수록 진정성이 느껴지는 것,
